,수강학기,강의평가,평점
0,22-2,"진짜 왜 배우는지 모르겠는 과목………ㅜㅜ
배우다보면 현타오고
뭐 약간 잘못해도 학점 나락",3.0
1,22-2,"14,15주 과제가 중요한데 그만큼 시간 오래 걸려요.
AI 기초와 활용이긴 한데...사실 잘 모르겠어요",4.0
2,22-1,"사실 아무리 설명을 들을려고 해도 잘 안 들리더라고요... 인공지능이 무섭고 어려운 엉역입니다 . 
그리고 철학과제, 경영과제 같은 것들이 있어서 오히려 저는 좋았습니다!  매주 나오는 코딩 과제를 지속적으로 잘 해야 합니다.!",4.0
3,22-여,"도전학기로 들었음.
이게 왜 필수교양인지 모르겠음.
앞에4주는 코딩관련 과제 뒤에주는 철학과제 경영과제.
하는거 많이 없는 반면 코딩과제에서 점서 깎이면 안되는듯.",3.0
4,22-2,"과제 실기 3번 정도인데
조금 실수해도 점수가 많이 깎여서 에쁠 받기 힘드네요..
강의는 좋습니다",4.0
5,22-2,"코딩도 할 만하고.. 과제도 할 만 한데.. 그냥 할 만해요
점수 깎이면 대신... 에이쁠은 물 건너갈지도..",4.0
6,22-2,"족보 구해서 하세요
족보 있는거랑 없는거랑 천지차이",5.0
7,22-2,이 과목 퀴즈는 문제 없었으나 AI 실습과제 1에서 3까지 어려운 부분이라서 점수가 만점 중에 3분의 1(34%)이라서 결과가 C학점 받는 예측이 있을듯,4.0
8,22-2,"진짜 이게 맞는듯
장점 : 시험을 안 본다
단점 : 시험을 안 본다
공부를 할 필요도 없고 과제 없는 주차는 강의를 듣지 않아도 되나 3회에 걸쳐 나오는 코딩 과제가 급발진 레전드다 코딩머리 없는 필자는 박박 울면서 했음 꼬옥 데분기 먼저 듣고 이 과목 듣길 그리고 주변에 코딩 잘하는 친구 많이 만들어 놓기...",2.0
9,22-2,시험 없는 건 정말 좋은데..과제가 좀 그렇네요,3.0
10,22-2,"뭔가 꿀인거 같으면서도... 아닌거 같은 기분이 드는 강좌입니다.
딱 적당히 열심히 하세요",4.0
11,22-1,"코딩 과제 너무 어려워요…
시험은 없어서 다행이지만 매주 과제 때문에 힘들었던 것 같아요",2.0
12,22-2,"데분기 먼저듣늗걸 추천 
그냥 빨리빨리과제끝내는게 다인 과목",4.0
13,22-2,"데분기보다는 부담이 덜했던 과목이었음
코딩 과제만 제때제때 하면 문제 없을듯",4.0
14,22-여,경영과제가 수업이랑 별로 상관없는 것 같습니다. 아이디어가 딱히 없어서 분량이라도 채우자는 심정으로 꽉꽉채웠는데 평균 살짝 넘었네요... 아이디어가 중요한 것 같습니다.,2.0
15,22-2,코딩 과제가 비전공자에겐 솔찬히 어렵습니다.,3.0
16,22-1,시험이 없다는 것만 좋았어요.. 코딩 어려워요,3.0
17,22-2,"코딩 과제가 어렵네요...
구글링 잘 해야 해요...",3.0
18,22-1,"그냥 하라는거 따라하면 학점은 잘 받을 수 있음.
근데 퀴즈 몇개 틀리고 놓치면 학점이 팍팍 내려감",2.0
19,22-여,"졸업해야하니까 들었을뿐임...
무조건 도전으로 처리하세요!!!",2.0
