,수강학기,강의평가,평점
0,22-1,대학 생활 중 가장 좋았던 수업입니다 강추합니다,5.0
1,22-1,"일단 교수님 강의력이 너무너무 좋습니다. 귀에 잘 들어오고 설명도 잘해주십니다. 언어학에 대한 부분은 굉장히 흥미롭게 들었는데, 개인적으로 파이썬과 코딩을 많이 어려워해서 코딩 관련 수업 범위가 많고 어렵게 느껴졌습니다. 교수님께서 피드백도 굉장히 잘 주시고 수업 준비를 많이 하셔서 좋았습니다. 기말 프로젝트가 조금 부담스러웠고 완성도가 많이 떨어진 상태로 제출하게 되었지만 에이쁠 받았습니다. 점수 후하게 주시는 것 같습니다.",5.0
2,22-1,"시험도 배운 내용 안에서만 나오고, 강의력이 정말 좋으십니다! 왜 좋다는지 오프라인 첫날 인정하게 됐어요. 코딩도 그렇게 어려운 수준 아니니까 그런 걸로 걱정되시는 분은 맘놓고 도전하셔도 됩니다!!",5.0
3,22-1,"교수님 강의력이 매우 좋으시고 친절하십니다. 코딩 실습 과제 3개, 중간고사, 기말 프로젝트로 진행되며 성적도 비교적 너그럽게 주시는 것 같습니다.",5.0
4,22-1,"중간고사는 그 전까지 배운 언어학이랑 파이썬 조금으로 이론 시럼이고, 기말고사는 직접 프로젝트 계획해서 보고서 내는 걸로 대체됩니다. 기말 프로젝트가 조금 막막하실 수 있는데 교수님께서 질문 엄청 잘 받아주시고, 중간발표 후 꼼꼼히 피드백해주십니다! 엄청 친절하시고 강의력도 좋으세요!",5.0
5,22-1,"전반에는 언어학, 후반에는 파이썬을 활용해서 언어 분석하는 내용을 배우고, 중간은 필기시험, 기말은 프로젝트로 진행됐습니다! 과제는 파이썬 실습 3개 있는데 파이썬 기초는 알고있어서 무난했어요. 프로젝트는 14주차에 계획발표, 15주차에 프로젝트 보고서 제출하고 코드와 데이터 제출은 선택이었어요. 중간을 조금 망쳤다고 생각했는데 에이쁠이 나왔습니다! 프로젝트도 걱정했는데 점수 잘 주시는 것 같아요. 목소리도 좋으시고 수업도 언어에 대한 학문적인 접근과 파이썬 활용까지 배울 수 있어 추천합니다!",5.0
6,22-1,"그저 빛이십니다. 기말과제때 절대평가라고 그렇게 강조하시면서 노력하면 성적 잘주신다고 합니다
수업 퀄리티도 좋고 언어학 내용도 흥미롭습니다",5.0
7,22-1,교수님이 이렇게나 친절하시기는 처음이다 질문도 끝없이 받아주시고 과제에 코멘트도 직접 하나하나 다 달아주심 내용은 좀 어렵긴 하지만 .. 교수님 강의략은 쏘쏘 들어볼만한 과목!,5.0
8,21-2,교수님 강의력은 정말 제가 대학교에서 들은 수업 중에 최고였습니다 언어와 공학에 대해서 100을 알려주시지만 이 중 30만 소화해도 충분히 학점은 잘 받을 수 있어요. 그만큼 내용도 알차지만 부담은 덜한 수업,5.0
9,21-2,"교수님 강의력도 정말 좋으시고, 강의 내용도 진짜 유익해서 듣고도 후회하지 않는 강의였습니다! 파이썬 실습 문제가 조금 까다롭긴 하지만 노력하면 충분히 풀 수 있는 정도였어요:)",5.0
10,21-2,"학점과 관계없이 이번 학기 가장 즐겁게 들었던 과목입니다. 언어학, 파이썬, 언어공학을 한 학기에 학습하다보니 파이썬의 기본 정도만 알면 훨씬 편하고 의미있게 수강할 수 있습니다. 교수님 강의력이 정말 좋으시고, 학생들의 실질적인 편의 (학습, 흥미, 공정성) 에 대해 고민을 많이 해주시는 것 같습니다. 머신러닝에 대해 부담없이 흥미를 가질 수 있다는 것이 수업의 큰 장점이고, 이미 해당 분야에 대해 기본 지식이 있으신 분들은 수업 내용이 쉬울 수 있습니다.",5.0
11,21-2,교수님 목소리랑 발음이 너무 좋음...수업도 언어데이터분석의 기초적인 지식 얻어갈 수 있어서 유익했습니다,5.0
12,21-2,"교수님 친절하시고 배워가는 것도 많습니다. 
코딩 관련 노베였는데 에이쁠 맞았어요!",5.0
13,21-2,"전반부에서는 파이썬 기초와 언어학 이론을 다루고, 후반에서는 감성분석, 나이브 베이즈 분류기 등 주차마다 언어 분석과 관련된 툴을 하나씩 배웁니다. 
이후 배운 툴을 바탕으로 기말 프로젝트를 구상하여 페이퍼 형식으로 제출합니다. 프로젝트 과정에서 사용한 코드도 같이 제출하는 것이 권장됩니다. 파이썬을 배우긴 하지만 개인 역량에 따라 다른 언어를 사용해도 무방합니다. 
페이퍼 제출 약 2주 전에 프로젝트 계획안을 5분간 발표하는데, 이 과정에서 교수님께서 학생 한명 한명 코멘트를 해주십니다. 개인적으로 프로젝트 진행과 방향 수정에 큰 도움이 되었습니다.
학점은 매우 후하게 주시는 편인 것 같습니다. 솔직히 B+ 생각하고 있었는데 A+ 받았네요.",5.0
14,21-2,"교수님이 너무 친절하시고 잘 가르쳐주셔서 많이 얻어갈 수 있는 수업입니다!! 강의계획서 흐름에 따라 수업을 진행함. 
4주 분량의 언어학 내용 + 파이썬 기초 내용!! 초보자에게는 조금 어려워요!!",4.0
