,수강학기,강의평가,평점
0,22-1,정하림 교수님 수업은 믿고 듣습니다 교안도 깔끔하게 잘 나와있고 강의력도 매우 좋습니다! 평소에 수업 열심히 들으신다는 가정하에 시험기간에 한바퀴만 꼼꼼히 공부하신다면 좋은 성적 받아가실 수 있어요,5.0
1,22-1,갓하림.. 강의력도 너무 좋으시고 간단하게 코드 베껴서 내는 과제 3-4번에 시험 두번 보면 에이쁠 끝,5.0
2,22-1,교수님께서 차근차근 설명 잘 해주십니다! 출석도 다 인정해주시고 학점도 잘 주시는 것 같아요 어짜피 들어야하는 과목이라 무난무난하게 들을 수 있습니다!,5.0
3,22-1,자료구조및알고리즘에 대해 설명 자세하고 시험 내용도 어렵지 않습니다.,4.0
4,22-1,"들은 전공 중 제일 좋았어요. 교수님 설명도 이해가 잘 되고, 과제 부담도 없고, 성적도 잘 주심. 이번 학기 유일한 빛이었다",5.0
5,22-1,과제는 없다고 봐도 무방. 교수님이 대강 알려주시는게 솔직히 문알 수준입니다. 문알을 파이썬 코딩으로 옮겨 놓은거 그 이상은 아닙니다. 자료구조와 알고리즘이 합쳐져 깊이는 얕아져서 문알이랑 차이 없습니다.  점수는 정말 잘 줍니다. 장점입니다. 그리고 오프라인 수업보다는 온라인을 지향하시는 편입니다. 강의력이 좋은 것은 사실 아닙니다. 5점 만점이라는 강평에 찬물을 끼얹는거 같지만 전 동의하기 어렵습니다...,3.0
6,22-1,"시험 문제가 과연 학습 내용을 잘 반영하는 내용인가 싶은 부분들은 있지만, 족보 있으면 높은점수 따기 절대쉬움. 복전생용 반으로 옮겨들으명 평균이 다 2점씩은 낮아져서 더쉬움.",5.0
7,22-1,알고리즘에 대해 깊게 배우지는 않지만 처음 배운다면 나쁘지 않은 과목. 별개로 교수님이 정말 친절하시고 반복적으로 알려주심. 시험 문제도 깔끔함,5.0
8,22-1,왜.. 갓하림인지는 알것같아요.. 너무 잘 가르쳐주시고 물어보면 친절하게 다 답해주심.. 그것도 빠르게... 다른 전공도 무조건 하림교수님으로...,5.0
9,22-1,강의 너무 잘하시고 유익한 수업이에요. 대학교 강의가 다 이렇게만 가르쳐줬으면 좋겠어요~ 시험 형식도 깔끔하고 배운 내용만 착실히 공부한다면 성적 잘 받을 수 있는 수업입니다,5.0
10,22-1,정말 잘 가르친다는 것이 느껴진다는 강의였음. 수업은 녹화강의로 올려주시는데 너무 깔끔하고 이해가 잘되게 친절하게 설명해주심. 웬만한 유튜브나 사설 강의보다 이해잘되고 노베여도 편하게 따라갈 수 있는 수준.수업자료는 인쇄해서 제본으로 책만들고 싶을정도로 너무 깔끔함. 강의력도 좋은데 수업자료도 좋아서 합치면  능력치 과다라고 느껴질  정도..  두번빼고 거의다 온라인했고 출결은 모두 만점주심. 성적은 중간 기말로 갈리는데 내용을 이해하고 적용하는게 중요. 노베인데 안밀리고 꾸준히 듣고 전날에만 열심히 공부하고 정리하면 충분함. 분반 1등 성적이라 에이쁠 확정이라 성적 후하신지는 잘 모르지만 꽤 잘주시는거 같음. 오래오래 다양한 수업 해주셨으면 좋겠다,5.0
11,22-1,"강의력이 좋으십니다! 시험은 ppt 내용만 모두 이해하면 풀 수 있는 정도! 과제는 없었고, 요번학기는 출석도 모두 만점으로 주신다고 하셨었습니다.",5.0
12,22-1,"'빛하림'. 학기 중에는 따스한 조명 같은 느낌이었다면, 성적 뜬 후에는 쨍쩅한 햇볕이 되는 그저 빛- 같은 교수님이셨습니다. 
교수님께서 온라인 사전녹화에 대한 확실한 선호를 가지고 계셔서, 코로나 걸렸다는 학생이 생기면 기다리셨다는 듯이 오프라인 현강이 사전녹화 강의로 대체되는 게 4~5주 있었던 거 같아요. 나중에는 아예 그냥 출석은 다 만점 주시겠다며 올 사람만 오라고 하시는 대인배의 면모를 보여주셨습니다.
강의 내용의 경우, 코딩 쪽 머리나 경험이 있다면 수월했을 거 같고, 그러지 못했던 저는 쉽다는 중간고사에서도 쉽지 않은 성적을 거두었습니다. 오히려 기말에서 점수가 더 좋았습니다. 
최종 성적 80% 후반인 걸 보고 다소 두려움에 떨고 있었으나 A+ 주시는 걸 보고 '학점느님'을 절절히 체감했습니다.
5점을 드리지 않을 도리가 없습니다.",5.0
13,22-1,"자료구조와 알고리즘이 원래 다른 수업이었는데, 통합이 되어서 걱정도 되었는데, 이런 걱정을 날려버릴 강의력이셨습니다.",5.0
14,22-1,"중간 기말 두번으로 성적 산출되는데 중간 35 기말 32로 에이쁠 받았습니다. 중간은 쉬운 느낌이 있긴 했지만 시간 복잡도 같은 부분 꼼꼼하게 공부안했다면 좀 어려웠을거 같기도 합니다. 기말은 70%는 쉬웠는데 나머지 30% 정도가 좀 생각해봐야하는 까다로운 문제였던거 같습니다

교수님 정말 친절하시고 아캠으로 질문해도 정말 잘 받아주십니다. 추천합니다 🤓",5.0
15,22-1,"이번학기에 원전공으로도 자료구조를 수강하였는데, 그 수업에 비하면 수업의 난이도는 낮은 편이었습니다. 자료구조를 처음부터 코드로 직접 구현해보는 활동이 없고 그냥 ppt에 있는걸 그대로 따라서 치는거라 실습은 적긴 하지만 이론적인 내용에서 배울 수 있는 내용이 많았습니다. 중간, 기말 둘다 35점 만점이었고 저는 둘다 32점 받고 A+ 받았습니다.",5.0
16,22-1,"그저 갓.하.림. 🌟 
수업 내용도 좋고 점수도 후하게 주신다. 이번 학기에 얻어가는 게 제일 많았던 수업.",5.0
17,22-1,강의력은 좋으신데 생각보다 많은 응용을 요구해서 이해가 기반이 되어야한다. 한번 놓치면 그 다음부터 조금 어려워지는정ㄷ. 진도는 느리게 나가주셔서 열심히하면 따라갈수 있다.,5.0
18,22-1,교수님께서 직접 만드신 강의자료가 너무 좋아요! 그거로 공부하면 시험 잘 칠 수 있어요,5.0
19,22-1,친절하게 잘 설명해주시고 과제도 강의만 들으면 쉽게 할 수 있는 수준이라 편하고 유익했습니다 갓하림교수님 최고 👍,5.0
