,수강학기,강의평가,평점
0,21-1,"교수님도 좋으시고, 강의 내용도 충실합니다.",5.0
1,21-1,과제 열심히 했는데 기말고사 잘 못 봐서 학점이 잘 안나왔습니다. 수업은 좋았어요. 기말고사가 제일 중요한거 같습니다!,5.0
2,21-1,교수님 강의력이 정말 좋으세요 그렇지만 매주 퀴즈와 코딩 과제가 있다는 점이 좀 힘들긴 했어요 그래도 저는 이 수업으로 코딩에 흥미가 생겼고 한학기 재밌게 잘 들었습니다,5.0
3,20-1,교수니 엄청 친절함 꼼꼼히 다 알려주는편 하지만 한번 놓치면 따라가기 힘들수도 있으,4.0
4,21-1,"교수님 너무 좋으셔요! 강의력이 좋으셔서 귀에 쏙쏙 박혀요. 코딩 처음 하는데 쉽게 설명해주셔서, 또 저도 그만큼 열심히 들어서 에이쁠 받았어요!",5.0
5,21-1,교수님은 너무너무 좋지만 너무너무 힘들었던 강의. 시험 어려운데 잘 봐야 학점 잘 나옵니다,4.0
6,21-1,"1. 강의력이 진짜 엄청 좋으세요! 교수님만 따라가면 과제는 문제없이 해결하실 수 있을거에요! 근데 필기양이 조금 많아서 필기노트를 만드는게 좋아요!
2. 과제 양이 정말 많아요.. 그래서 미리미리 하는거를 추천드려요! 그래도 강의를 보면 할 수 있는 수준이라 괜찮지만, 저는 거의 30분에서 한시간 걸린 것 같아요!
3. 중간고사 대체과제 1개, 기말시험 1개 봐요! 과제는 정말 쉅고 굳이 팀플로 안해도 한시간이면 끝내요. 그리고 점수도 잘 주셔요!! 제일 중요한다는 기말시험입니다.⭐️ 저도 어떻게 에이뿔 받았는지 모를정도로 진짜 양도 많고, 객관식도 복잡하고, 서술형 문제도 까다로웠어요. 준비를 백프로 하시면 보통 받으실 정도? 그나마 오픈북이어서 다행이지만, 그거 확인할 시간이 충분히 없어요…… 준비 철저히 하세요!
4. 학점은 잘 주십니다! 특히 쁠 채워주셔요!!

정말정말 교수님한테서 얻어가고 배워가는 것들이 많은 수업입니다! 기말고사 준비만 잘하세요!",5.0
7,21-1,수업 이후 충분한 복습이랑 자기가 스스로 과제를 해결할 수 있는 수준이 되어야 좋은 점수를 받을 수 있어요! 한 번 복습이 밀리면 계속해서 밀려서 더 어려워지니 초반부 쉬운 강의부터 열심히 듣는 걸 추천해요!,2.0
8,21-1,컴사코라는 과목 자체가 싫은거지 교수님은 좋으셨고 그래서 여기 별점 테러는 못하겠다 내가 왜 코딩을 무조건 해야하는지 모르겠지만 굳이 해야한다면 지정은 교수님 걸리는게 좋은 거 같기도 ..? 어차피 주차과제는 어느 교수님이나 다 있으니까 ..? 난 코딩이 너무너무너무너무 싫었기 때문에 고통스러운 과목이었다,4.0
9,21-1,과제가 매주 있는 게 좀 힘들긴 하지만 교수님께서 열심히 가르쳐주시려는 것 같아서 좋습니다! 기말은 오픈북이었는데 수업자료 잘 정리하고 보니까 도움됐습니다,5.0
10,21-1,"다들 들어야 하는 과목이라 다같이 고생함
매주 과제가 귀찮지만 한시간에서 어려우면 두시간 사이에 해결 가능함
중간 발표는 혼자 해도 된다 그게 더  편함",4.0
11,21-1,매주해야하는 과제가 있지만 수업 들으면 무난하게 할 수 있을정도입니다. 노력한 만큼 나오는 과목인거 같습니다,5.0
12,21-1,교수님은 좋으시지만 참 힘들었어요.. 코딩 못하는데 꾸역꾸역 하느라 힘들었습니다 ㅠ 그래도 강의 들으면서 하면 불가능은 아닌듯,3.0
13,21-1,너무 행복하고 즐겁습니다! 항상 과제가 기대되요 두근두근,5.0
14,21-1,"저 같이 수학적 머리가 없는 문과들은 엄청 어렵습니다…
교수님은 매우 좋으신데 과목 자체가 어려워서 힘들었고 매주 과제가 못 따라잡으면 손볼 수 없는 상태가 돼버려서 기말시험은 거의 포기하고 반타작 맞은 것 같아요 2학기때 이과목이랑 비슷한 거 또 배우는데 미리미리 해놓으시고 시간 좀 투자하시면 덜 힘들것입니다..",3.0
15,21-1,"퀴즈 :강의자료실에 있는 pdf자료 활용
과제 :그 주 실습 강의 예제 활용
기말 :꼬박꼬박 과제 열심히 내기+이론부분은 내신 암기과목처럼 공부
이렇게 하고 A+받았네요",5.0
16,21-1,코딩도 수학문제풀듯이 풀면 분명히 딱딱 풀립니다. 겁먹지 않으셨으면 좋겠어요,4.0
17,21-1,교수님은 정말 좋은 분이십니다! 강의력도 좋으셔서 이해도 잘됩니당 다만 코딩 어려워하는 분들에게는 내용이 조금 어려울 수도 있을 것 같습니다,4.0
18,21-1,"마음씨 좋은 지정은 교수님, 컴퓨팅사고SW코딩 수업 참여해 주셔서 감사드립니다만, 과제가 철옹성같이 어려움을 느꼈지만 과제 결과가 좀 아쉬우지만 제 예측같이 생각한대로 C+학점을 잘 받겠습니다.",4.0
19,20-1,지정은 교수님 좋아요! 물론 코딩이라는 처음 접하고 어려운 내용이라 과제에서 어려움을 겪을 때도 많았지만 직권배정받았는데 만족스럽습니다~~,5.0
